timestamp_us,point_idx,orig_vel_x,orig_vel_y,orig_acc_x,orig_acc_y,orig_body_vel_x,orig_body_vel_y,orig_body_acc_x,orig_body_acc_y,traj_vel_hori_limit,flight_lim_vel,manual_speed_limit,uav_vel_enu_x,uav_vel_enu_y,uav_vel_body_x,uav_vel_body_y,stick_roll,stick_pitch,stick_yaw,stick_throttle,lqr_body_vel_x,lqr_body_vel_y,lqr_body_vref_x,lqr_body_vref_y,lqr_body_err_x,lqr_body_err_y,lqr_vel_x,lqr_vel_y,lqr_acc_x,lqr_acc_y,lqr_body_target_acc_x,lqr_body_target_acc_y,lqr_body_cmd_acc_x,lqr_body_cmd_acc_y,lqr_ref_acc_x,lqr_ref_acc_y,lqr_ff_acc_x,lqr_ff_acc_y,lqr_swing_acc_x,lqr_swing_acc_y,lqr_int_before_x,lqr_int_before_y,lqr_int_preview_x,lqr_int_preview_y,lqr_integral_x,lqr_integral_y,lqr_aw_gain_x,lqr_aw_gain_y,lqr_aw_delta_x,lqr_aw_delta_y,lqr_aw_correction_x,lqr_aw_correction_y,lqr_aw_u_preview_x,lqr_aw_u_preview_y,lqr_aw_u_sat_x,lqr_aw_u_sat_y,gyro_angle_x,gyro_angle_y,gyro_rate_x,gyro_rate_y,rope,payload_mass,drone_mass,yaw
1779187172123624,0,0,0.00718229,0,0.0400898,0.0,0.00718229,0.0,0.0400898,13.5,13.5,13.5,-6.404078189812549e-23,-8.003836279868802e-08,-6.404078189812549e-23,-8.003836279868802e-08,0,0,0,0,0.0,0.0006216435237599103,0.0,0.00718229,0.0,-0.00656064647624009,0.0,0.0006216435237599103,0.0,0.031083868988306663,0.0,0.13224931071090118,0.0,0.031083868988306663,0.0,0.0,0.0,0.0001439423489454874,0.0,-0.000143942348920695,0.0,-0.0013143793104834914,0.0,-0.001915265616638795,0.0,-0.001915265616638795,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,0.0,0.13224931071090118,0.0,0.13224931071090118,-1.1328735646853265e-08,-1.3084509680934357e-23,-2.516691057649436e-06,-1.5278255282888892e-21,15.0,150.0,120.0,0.0
1779187172123624,1,0,0.0143511,0,0.0757042,0.0,0.0143511,0.0,0.0757042,13.5,13.5,13.5,-5.938896239683897e-23,-6.279991398893677e-09,-5.938896239683897e-23,-6.279991398893677e-09,0,0,0,0,0.0,0.0018148275315011191,0.0,0.0143511,0.0,-0.012536272468498881,0.0,0.0018148275315011191,0.0,0.05967259527178269,0.0,0.13224931071090118,0.0,0.05967259527178269,0.0,0.0,0.0,0.0001439423489454874,0.0,-0.000143942348920695,0.0,-0.0013143793104834914,0.0,-0.001915265616638795,0.0,-0.001915265616638795,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,0.0,0.13224931071090118,0.0,0.13224931071090118,-2.5466685628060716e-07,-5.58292883260883e-23,-2.9152477358038272e-05,-3.236697954584759e-21,15.0,150.0,120.0,0.0
1779187172123624,2,0,0.0215065,0,0.107343,0.0,0.0215065,0.0,0.107343,13.5,13.5,13.5,5.533862883038478e-22,4.527642355001481e-06,5.533862883038478e-22,4.527642355001481e-06,0,0,0,0,0.0,0.003532953420564405,0.0,0.0215065,0.0,-0.017973546579435597,0.0,0.003532953420564405,0.0,0.08595070774196414,0.0,0.13224931071090118,0.0,0.08595070774196414,0.0,0.0,0.0,0.0001439423489454874,0.0,-0.000143942348920695,0.0,-0.0013143793104834914,0.0,-0.001915265616638795,0.0,-0.001915265616638795,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,0.0,0.13224931071090118,0.0,0.13224931071090118,-1.6686114515387072e-06,-2.0905296267618266e-22,-0.0001303645403496023,-1.6258912504996148e-20,15.0,150.0,120.0,0.0
1779187172123624,3,0,0.0286485,0,0.135449,0.0,0.0286485,0.0,0.135449,13.5,13.5,13.5,4.050080642916926e-21,2.699294713627856e-05,4.050080642916926e-21,2.699294713627856e-05,0,0,0,0,0.0,0.005732684692234823,0.0,0.0286485,0.0,-0.022915815307765177,0.0,0.005732684692234823,0.0,0.11008982432291035,0.0,0.13224931071090118,0.0,0.11008982432291035,0.0,0.0,0.0,0.0001439423489454874,0.0,-0.000143942348920695,0.0,-0.0013143793104834914,0.0,-0.001915265616638795,0.0,-0.001915265616638795,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,0.0,0.13224931071090118,0.0,0.13224931071090118,-6.48330998267247e-06,-8.947920628017417e-22,-0.00038434915082919877,-5.600013638877568e-20,15.0,150.0,120.0,0.0
1779187172123624,4,0,0.035777,0,0.160418,0.0,0.035777,0.0,0.160418,13.5,13.5,13.5,1.2197066700188788e-20,9.362186272725144e-05,1.2197066700188788e-20,9.362186272725144e-05,0,0,0,0,0.0,0.008373716724110478,0.0,0.035777,0.0,-0.027403283275889527,0.0,0.008373716724110478,0.0,0.13224931071090118,0.0,0.13224931071090118,0.0,0.13224931071090118,0.0,0.0,0.0,0.0001439423489454874,0.0,-0.000143942348920695,0.0,-0.0013143793104834914,0.0,-0.001915265616638795,0.0,-0.001915265616638795,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,0.0,0.13224931071090118,0.0,0.13224931071090118,-1.873812685740352e-05,-2.603906271274624e-21,-0.0008930124557347797,-1.1820223573210881e-19,15.0,150.0,120.0,0.0
1779187172223624,0,0,0.0744761,0,0.338958,-2.558045790242336e-24,0.0744761,-1.1642259529821805e-23,0.338958,13.5,13.5,13.5,2.3196579887778403e-20,0.00024745110130420037,2.3196571388524978e-20,0.00024745110130420037,0,0,0,0,1.1234076551058118e-20,0.006738364580534679,-2.558045790242336e-24,0.0744761,1.123663459684836e-20,-0.06773773541946533,1.1234307995040125e-20,0.006738364580534679,-4.7330564638283364e-20,0.3322493107109012,-3.564077894060474e-20,1.4740877754100175,-4.734197647309446e-20,0.3322493107109012,0.0,0.808264,2.447104033503076e-21,0.8095663551815259,-2.447104033503076e-21,-0.0013023437674455876,8.648032940612631e-22,-0.01052692293008445,1.038069599956144e-21,-0.013518391580244711,1.038069599956144e-21,-0.013518391580244711,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,-3.564077894060473e-20,1.4740877754100175,-3.564077894060473e-20,1.4740877754100175,-4.478567406710217e-05,-5.656566063294687e-21,-0.0017949091756126565,-1.8210537347021295e-19,15.0,150.0,120.0,-1.967949819903208e-21
1779187172223624,1,0,0.106001,0,0.477862,-3.640837957565956e-24,0.106001,-1.6413223536366475e-23,0.477862,13.5,13.5,13.5,2.849061967930529e-20,0.0005734299394693646,2.8490599983590255e-20,0.0005734299394693646,0,0,0,0,1.0325225196470296e-20,0.017380796810609722,-3.640837957565956e-24,0.106001,1.0328866034427863e-20,-0.08862020318939028,1.0325822178241797e-20,0.017380796810609722,-4.4128254388674624e-20,0.5322493107109012,-3.564077894060474e-20,1.4740877754100175,-4.414653566425999e-20,0.5322493107109012,0.0,0.808264,2.447104033503076e-21,0.8095663551815259,-2.447104033503076e-21,-0.0013023437674455876,8.648032940612631e-22,-0.01052692293008445,1.038069599956144e-21,-0.013518391580244711,1.038069599956144e-21,-0.013518391580244711,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,-3.564077894060473e-20,1.4740877754100175,-3.564077894060473e-20,1.4740877754100175,-9.503595600666371e-05,-9.60567527853969e-21,-0.0033792203538757313,-2.0667950189386554e-19,15.0,150.0,120.0,-1.967949819903208e-21
1779187172223624,2,0,0.137465,0,0.601259,-4.7215383801738104e-24,0.137465,-2.0651565452478266e-23,0.601259,13.5,13.5,13.5,2.8302527950629424e-20,0.0012276889773245186,2.830248578294583e-20,0.0012276889773245186,0,0,0,0,9.467078802202222e-21,0.03201745107384567,-4.7215383801738104e-24,0.137465,9.471800340582396e-21,-0.10544754892615434,9.468178512121697e-21,0.03201745107384567,-4.111412408569976e-20,0.7322493107109012,-3.564077894060474e-20,1.4740877754100175,-4.11392748020594e-20,0.7322493107109012,0.0,0.808264,2.447104033503076e-21,0.8095663551815259,-2.447104033503076e-21,-0.0013023437674455876,8.648032940612631e-22,-0.01052692293008445,1.038069599956144e-21,-0.013518391580244711,1.038069599956144e-21,-0.013518391580244711,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,-3.564077894060473e-20,1.4740877754100175,-3.564077894060473e-20,1.4740877754100175,-0.00018783683241826416,-1.3757068650026982e-20,-0.006151797170389519,-2.0453816223949884e-19,15.0,150.0,120.0,-1.967949819903208e-21
1779187172223624,3,0,0.168871,0,0.71088,-5.800246664957127e-24,0.168871,-2.4416740288058476e-23,0.71088,13.5,13.5,13.5,2.4624579089085677e-20,0.0024469573764429897,2.4624495042941805e-20,0.0024469573764429897,0,0,0,0,8.656438400626541e-21,0.0506435674919869,-5.800246664957127e-24,0.168871,8.662238647291499e-21,-0.1182274325080131,8.65817786556396e-21,0.0506435674919869,-3.827583619757272e-20,0.9322493107109011,-3.564077894060474e-20,1.4740877754100175,-3.830785635470662e-20,0.9322493107109011,0.0,0.808264,2.447104033503076e-21,0.8095663551815259,-2.447104033503076e-21,-0.0013023437674455876,8.648032940612631e-22,-0.01052692293008445,1.038069599956144e-21,-0.013518391580244711,1.038069599956144e-21,-0.013518391580244711,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,-3.564077894060473e-20,1.4740877754100175,-3.564077894060473e-20,1.4740877754100175,-0.00035372620436639106,-1.7705402893457284e-20,-0.010821016537565165,-1.8928612545962504e-19,15.0,150.0,120.0,-1.967949819903208e-21
1779187172223624,4,0,0.200217,0,0.808264,-6.876894117508164e-24,0.200217,-2.776160838986509e-23,0.808264,13.5,13.5,13.5,1.5425803971622188e-20,0.004540975270143535,1.542564800181881e-20,0.004540975270143535,0,0,0,0,7.89032095959518e-21,0.07325310005060753,-6.876894117508164e-24,0.200217,7.897197853712688e-21,-0.12696389994939247,7.892836998756826e-21,0.07325310005060753,-3.5601889342696566e-20,1.132249310710901,-3.564077894060474e-20,1.4740877754100175,-3.564077894060474e-20,1.132249310710901,0.0,0.808264,2.447104033503076e-21,0.8095663551815259,-2.447104033503076e-21,-0.0013023437674455876,8.648032940612631e-22,-0.01052692293008445,1.038069599956144e-21,-0.013518391580244711,1.038069599956144e-21,-0.013518391580244711,0.22247608830757568,0.22247608830757568,0.0,0.0,0.0,0.0,-3.564077894060473e-20,1.4740877754100175,-3.564077894060473e-20,1.4740877754100175,-0.0006391595006046321,-2.1212896756032663e-20,-0.018264027041941164,-1.546316129111161e-19,15.0,150.0,120.0,-1.967949819903208e-21
